6.59,6.31,7.19,6.83,8.67,6.06,6.41,6.65,6.59
6.60,6.32,7.20,6.84,8.68,6.07,6.42,6.67,6.60
6.61,6.33,7.21,6.85,8.68,6.09,6.43,6.68,6.61
7.14,6.98,7.82,7.53,9.26,6.86,7.05,7.41,7.30
7.27,7.15,7.97,7.70,9.41,7.06,7.20,7.60,7.47
7.41,7.31,8.11,7.86,9.55,7.25,7.36,7.77,7.65
7.54,7.48,8.27,8.04,9.71,7.44,7.51,7.96,7.82
7.67,7.64,8.42,8.21,9.86,7.64,7.66,8.15,7.99
7.80,7.81,8.58,8.38,10.02,7.83,7.80,8.33,8.17
7.94,7.98,8.73,8.56,10.18,8.03,7.96,8.51,8.35
8.07,8.15,8.89,8.72,10.33,8.24,8.11,8.70,8.52
8.21,8.32,9.05,8.90,10.49,8.43,8.27,8.88,8.70
8.34,8.49,9.20,9.08,10.66,8.63,8.42,9.07,8.88
8.48,8.67,9.36,9.25,10.83,8.84,8.58,9.27,9.06
8.61,8.85,9.53,9.43,11.00,9.03,8.73,9.45,9.24
8.75,9.02,9.68,9.60,11.16,9.24,8.89,9.65,9.42
8.88,9.19,9.84,9.78,11.33,9.45,9.04,9.84,9.60
9.02,9.36,10.00,9.96,11.50,9.64,9.20,10.03,9.79
9.16,9.53,10.16,10.13,11.67,9.85,9.35,10.22,9.97
